"Search Key","Name","Description","Account Type","Account Sign","Document Controlled","Summary Level","Default Account","Parent_Value","Element Level","Operands","Show Value Condition","Title Node"
2912,"Deterioro de valor de instalaciones técnicas","Deterioro de valor de instalaciones técnicas","Asset","Debit","N","Y",,"291B","D",,"Algebraic","N"
29120,"Deterioro de valor de instalaciones técnicas","Deterioro de valor de instalaciones técnicas","Asset","Debit","N","N",,2912,"S",,"Algebraic","N"
2913,"Deterioro de valor de maquinaria","Deterioro de valor de maquinaria","Asset","Debit","N","Y",,"291B","D",,"Algebraic","N"
29130,"Deterioro de valor de maquinaria","Deterioro de valor de maquinaria","Asset","Debit","N","N",,2913,"S",,"Algebraic","N"
2914,"Deterioro de valor de utillaje","Deterioro de valor de utillaje","Asset","Debit","N","Y",,"291B","D",,"Algebraic","N"
29140,"Deterioro de valor de utillaje","Deterioro de valor de utillaje","Asset","Debit","N","N",,2914,"S",,"Algebraic","N"
2915,"Deterioro de valor de otras instalaciones","Deterioro de valor de otras instalaciones","Asset","Debit","N","Y",,"291B","D",,"Algebraic","N"
29150,"Deterioro de valor de otras instalaciones","Deterioro de valor de otras instalaciones","Asset","Debit","N","N",,2915,"S",,"Algebraic","N"
2916,"Deterioro de valor de mobiliario","Deterioro de valor de mobiliario","Asset","Debit","N","Y",,"291B","D",,"Algebraic","N"
29160,"Deterioro de valor de mobiliario","Deterioro de valor de mobiliario","Asset","Debit","N","N",,2916,"S",,"Algebraic","N"
2917,"Deterioro de valor de equipos para procesos de información","Deterioro de valor de equipos para procesos de información","Asset","Debit","N","Y",,"291B","D",,"Algebraic","N"
29170,"Deterioro de valor de equipos para procesos de información","Deterioro de valor de equipos para procesos de información","Asset","Debit","N","N",,2917,"S",,"Algebraic","N"
2918,"Deterioro de valor de elementos de transporte","Deterioro de valor de elementos de transporte","Asset","Debit","N","Y",,"291B","D",,"Algebraic","N"
29180,"Deterioro de valor de elementos de transporte","Deterioro de valor de elementos de transporte","Asset","Debit","N","N",,2918,"S",,"Algebraic","N"
2919,"Deterioro de valor de otro inmovilizado material","Deterioro de valor de otro inmovilizado material","Asset","Debit","N","Y",,"291B","D",,"Algebraic","N"
29190,"Deterioro de valor de otro inmovilizado material","Deterioro de valor de otro inmovilizado material","Asset","Debit","N","N",,2919,"S",,"Algebraic","N"
"A.A.II.3","3. INMOVILIZADO EN CURSO Y ANTICIPOS","3. INMOVILIZADO EN CURSO Y ANTICIPOS","Asset","Debit","N","Y",,"A.A.II","E",,"Algebraic","N"
230,"Adaptación de terrenos y bienes naturales","Adaptación de terrenos y bienes naturales","Asset","Debit","N","Y",,"A.A.II.3","C",,"Algebraic","N"
2300,"Adaptación de terrenos y bienes naturales","Adaptación de terrenos y bienes naturales","Asset","Debit","N","Y",,230,"D",,"Algebraic","N"
23000,"Adaptación de terrenos y bienes naturales","Adaptación de terrenos y bienes naturales","Asset","Debit","N","N",,2300,"S",,"Algebraic","N"
231,"Construcciones en curso","Construcciones en curso","Asset","Debit","N","Y",,"A.A.II.3","C",,"Algebraic","N"
2310,"Construcciones en curso","Construcciones en curso","Asset","Debit","N","Y",,231,"D",,"Algebraic","N"
23100,"Construcciones en curso","Construcciones en curso","Asset","Debit","N","N",,2310,"S",,"Algebraic","N"
232,"Instalaciones técnicas en montaje","Instalaciones técnicas en montaje","Asset","Debit","N","Y",,"A.A.II.3","C",,"Algebraic","N"
2320,"Instalaciones técnicas en montaje","Instalaciones técnicas en montaje","Asset","Debit","N","Y",,232,"D",,"Algebraic","N"
23200,"Instalaciones técnicas en montaje","Instalaciones técnicas en montaje","Asset","Debit","N","N",,2320,"S",,"Algebraic","N"
233,"Maquinaria en montaje","Maquinaria en montaje","Asset","Debit","N","Y",,"A.A.II.3","C",,"Algebraic","N"
2330,"Maquinaria en montaje","Maquinaria en montaje","Asset","Debit","N","Y",,233,"D",,"Algebraic","N"
23300,"Maquinaria en montaje","Maquinaria en montaje","Asset","Debit","N","N",,2330,"S",,"Algebraic","N"
237,"Equipos para procesos de información en montaje","Equipos para procesos de información en montaje","Asset","Debit","N","Y",,"A.A.II.3","C",,"Algebraic","N"
2370,"Equipos para procesos de información en montaje","Equipos para procesos de información en montaje","Asset","Debit","N","Y",,237,"D",,"Algebraic","N"
23700,"Equipos para procesos de información en montaje","Equipos para procesos de información en montaje","Asset","Debit","N","N",,2370,"S",,"Algebraic","N"
239,"Anticipos para inmovilizaciones materiales","Anticipos para inmovilizaciones materiales","Asset","Debit","N","Y",,"A.A.II.3","C",,"Algebraic","N"
